,0,1,2
133,0.174104904103,SLCO2A1,EIF2AK1
134,0.172830165604,PRKAR2B,EIF2AK1
135,0.171528718428,KRAS,EXOC6
136,0.171528718428,STX1A,SLCO4A1
137,0.170068797978,PTK2B,PPCDC
138,0.16903744376,SLC22A2,CDC16
139,0.166369372952,PIK3R3,NF1
140,0.161970718047,IL6R,GABRB2
141,0.161970718047,NRCAM,GPX4
142,0.161807561156,SLCO4A1,PTK2B
143,0.161693506014,SLCO4A1,GABRB2
144,0.161693506014,IRS1,CDC16
145,0.161473023943,NRCAM,NF1
146,0.161411389872,STX1A,GABRB2
147,0.15942576375,PPCDC,IRS1
148,0.158533542638,PIK3R3,PDPK1
149,0.157300045329,PPCDC,IFNGR1
150,0.15709605834,KCNMB4,IL6R
151,0.155568523783,UPB1,STAT3
152,0.155568523783,KCNMB4,ANK1
153,0.155568523783,PDPK1,NRCAM
154,0.155568523783,PPCDC,OAT
155,0.154289482865,PRKAR2B,OAT
156,0.154289482865,SLCO2A1,IFNGR1
157,0.153631808813,SLC22A2,EXOC6
158,0.153414546552,SLCO4A1,KRAS
159,0.153296334151,PRKAR2B,GPX4
160,0.152113625734,PRKAR2B,CDC16
161,0.151460399051,SLCO2A1,IRS1
162,0.148434683573,STX1A,PRKAR2B
163,0.148340975663,PIK3R3,KCNMB4
164,0.148340975663,GPX4,CDC16
165,0.148081486271,EXOC6,EIF2AK1
166,0.147605172458,SC5DL,IFNGR1
167,0.146518315835,SOS1,PRKAR2B
168,0.144134374544,UPB1,EIF2AK1
169,0.141842448898,GPX4,GAB2
170,0.141842448898,SLC22A2,PTK2B
171,0.141652217889,SLCO2A1,GABRB2
172,0.141238614072,PIK3CD,IFNGR1
173,0.141238614072,PPCDC,NTRK1
174,0.141171499574,SLC22A2,PPCDC
175,0.140997037918,KCNMB4,GAB2
176,0.139098392821,NRCAM,EIF2AK1
177,0.139098392821,PIK3CD,PDPK1
178,0.139098392821,SLCO4A1,PPCDC
179,0.138763855608,CDC16,ATF2
180,0.138762918159,ITGA2,IRS1
181,0.138762918159,PPCDC,ANK1
182,0.138762918159,SLC22A2,ITGA2
183,0.136506628391,SC5DL,KRAS
184,0.135815812542,SLC22A2,GABRB2
185,0.135815812542,SLCO4A1,CDC16
186,0.134800974528,UPB1,NRCAM
187,0.134650346058,PPCDC,IL6R
188,0.134650346058,KRAS,KCNMB4
189,0.134295004871,SLCO2A1,PPCDC
190,0.134064690615,GPX4,BTRC
191,0.134033692702,SLCO4A1,DDOST
