,Gene1,Gene2,Count
178,SLCO4A1,CDC16,7.0
179,SC5DL,KRAS,6.0
180,UPB1,BTRC,7.0
181,EXOC6,EIF2AK1,8.0
182,GAB2,ANK1,16.0
183,STX1A,STAT3,3.0
184,STX1A,EXOC6,4.0
185,NTRK1,GPX4,10.0
186,STX1A,ITGA2,1.0
187,PRKAR2B,CDC16,6.0
188,OAT,DDOST,3.0
189,DDOST,ATF2,8.0
190,IL6R,EIF2AK1,1.0
191,ITGA2,BTRC,1.0
192,SOS1,NF1,7.0
193,NRCAM,IRS1,3.0
194,NTRK1,IRS1,6.0
195,IFNGR1,GAB2,1.0
196,KRAS,GABRB2,1.0
197,IFNGR1,DDOST,2.0
198,EXOC6,CDC16,1.0
199,PRKAR2B,IRS1,8.0
200,NTRK1,ITGA2,8.0
201,PIK3R3,IRS1,3.0
202,STAT3,SLCO2A1,2.0
203,PIK3R3,ATF2,7.0
204,SLCO4A1,OAT,1.0
205,NRCAM,KRAS,6.0
206,BTRC,ANK1,5.0
207,IFNGR1,EIF2AK1,1.0
208,SLC22A2,SC5DL,2.0
209,PPCDC,NRCAM,4.0
210,IL6R,BTRC,2.0
211,STX1A,SLCO2A1,7.0
212,SC5DL,CDC16,4.0
213,STAT3,PIK3R3,7.0
214,DDOST,ANK1,6.0
215,SOS1,PRKAR2B,6.0
216,IRS1,IL6R,4.0
217,SLC22A2,NTRK1,16.0
218,OAT,ATF2,3.0
219,PDPK1,IRS1,2.0
220,PTK2B,PPCDC,18.0
221,SC5DL,NF1,6.0
222,STAT3,BTRC,3.0
223,SLC22A2,GAB2,11.0
224,GABRB2,GAB2,1.0
225,SLCO4A1,IFNGR1,10.0
226,PDPK1,KRAS,11.0
227,PIK3R3,DDOST,6.0
228,SC5DL,KCNMB4,3.0
229,KCNMB4,BTRC,3.0
230,PTK2B,IL6R,8.0
231,SLCO2A1,PIK3CD,7.0
232,UPB1,DDOST,3.0
233,PTK2B,OAT,1.0
234,SLCO2A1,BTRC,3.0
235,NRCAM,ATF2,3.0
236,PTK2B,NTRK1,5.0
237,UPB1,NTRK1,10.0
238,STAT3,GAB2,5.0
239,PPCDC,IRS1,2.0
240,PDPK1,IFNGR1,4.0
241,PDPK1,ATF2,1.0
242,EIF2AK1,BTRC,1.0
243,STX1A,GPX4,3.0
