,0,1,2,3,4
0,KCNMB4,SLCO2A1,ANK1,0.265492518025,0.191166148676
1,KRAS,PDPK1,PRKAR2B,0.223044541903,0.159453808323
2,KRAS,PIK3R3,PRKAR2B,0.204257342162,0.167148265735
3,NF1,STX1A,NRCAM,0.204095560544,0.0463921743175
4,PDPK1,KRAS,PRKAR2B,0.223044541903,0.159453808323
5,PIK3R3,KRAS,PRKAR2B,0.204257342162,0.167148265735
6,SLCO2A1,KCNMB4,ANK1,0.265492518025,0.191166148676
7,STX1A,NF1,NRCAM,0.204095560544,0.0463921743175
